agent,episode_index,seed,score
ppo_full_board_masked,0,2,0.0
ppo_full_board_masked,1,3,105.0
ppo_full_board_masked,2,4,51.0
ppo_full_board_masked,3,5,78.0
ppo_full_board_masked,4,6,24.0
ppo_full_board_masked,5,7,99.0
ppo_full_board_masked,6,8,96.0
ppo_full_board_masked,7,9,92.0
ppo_full_board_masked,8,10,88.0
ppo_full_board_masked,9,11,120.0
ppo_full_board_masked,10,12,99.0
ppo_full_board_masked,11,13,69.0
ppo_full_board_masked,12,14,72.0
ppo_full_board_masked,13,15,51.0
ppo_full_board_masked,14,16,27.0
ppo_full_board_masked,15,17,24.0
ppo_full_board_masked,16,18,24.0
ppo_full_board_masked,17,19,55.0
ppo_full_board_masked,18,20,102.0
ppo_full_board_masked,19,21,78.0
ppo_full_board_masked,20,22,78.0
ppo_full_board_masked,21,23,40.0
ppo_full_board_masked,22,24,32.0
ppo_full_board_masked,23,25,51.0
ppo_full_board_masked,24,26,78.0
ppo_full_board_masked,25,27,99.0
ppo_full_board_masked,26,28,90.0
ppo_full_board_masked,27,29,54.0
ppo_full_board_masked,28,30,51.0
ppo_full_board_masked,29,31,69.0
ppo_full_board_masked,30,32,55.0
ppo_full_board_masked,31,33,78.0
ppo_full_board_masked,32,34,69.0
ppo_full_board_masked,33,35,27.0
ppo_full_board_masked,34,36,51.0
ppo_full_board_masked,35,37,51.0
ppo_full_board_masked,36,38,54.0
ppo_full_board_masked,37,39,54.0
ppo_full_board_masked,38,40,78.0
ppo_full_board_masked,39,41,78.0
ppo_full_board_masked,40,42,27.0
ppo_full_board_masked,41,43,27.0
ppo_full_board_masked,42,44,51.0
ppo_full_board_masked,43,45,69.0
ppo_full_board_masked,44,46,51.0
ppo_full_board_masked,45,47,111.0
ppo_full_board_masked,46,48,78.0
ppo_full_board_masked,47,49,24.0
ppo_full_board_masked,48,50,72.0
ppo_full_board_masked,49,51,78.0
ppo_full_board_masked,50,52,72.0
ppo_full_board_masked,51,53,72.0
ppo_full_board_masked,52,54,90.0
ppo_full_board_masked,53,55,24.0
ppo_full_board_masked,54,56,78.0
ppo_full_board_masked,55,57,51.0
ppo_full_board_masked,56,58,78.0
ppo_full_board_masked,57,59,51.0
ppo_full_board_masked,58,60,51.0
ppo_full_board_masked,59,61,55.0
ppo_full_board_masked,60,62,24.0
ppo_full_board_masked,61,63,51.0
ppo_full_board_masked,62,64,117.0
ppo_full_board_masked,63,65,72.0
ppo_full_board_masked,64,66,69.0
ppo_full_board_masked,65,67,27.0
ppo_full_board_masked,66,68,84.0
ppo_full_board_masked,67,69,82.0
ppo_full_board_masked,68,70,110.0
ppo_full_board_masked,69,71,78.0
ppo_full_board_masked,70,72,78.0
ppo_full_board_masked,71,73,51.0
ppo_full_board_masked,72,74,72.0
ppo_full_board_masked,73,75,85.0
ppo_full_board_masked,74,76,78.0
ppo_full_board_masked,75,77,67.0
ppo_full_board_masked,76,78,81.0
ppo_full_board_masked,77,79,51.0
ppo_full_board_masked,78,80,78.0
ppo_full_board_masked,79,81,78.0
ppo_full_board_masked,80,82,60.0
ppo_full_board_masked,81,83,78.0
ppo_full_board_masked,82,84,51.0
ppo_full_board_masked,83,85,55.0
