agent,episode_index,seed,score
ppo_full_board_masked,0,2,42.0
ppo_full_board_masked,1,3,31.0
ppo_full_board_masked,2,4,47.0
ppo_full_board_masked,3,5,54.0
ppo_full_board_masked,4,6,27.0
ppo_full_board_masked,5,7,54.0
ppo_full_board_masked,6,8,33.0
ppo_full_board_masked,7,9,31.0
ppo_full_board_masked,8,10,68.0
ppo_full_board_masked,9,11,27.0
ppo_full_board_masked,10,12,27.0
ppo_full_board_masked,11,13,27.0
ppo_full_board_masked,12,14,0.0
ppo_full_board_masked,13,15,69.0
ppo_full_board_masked,14,16,49.0
ppo_full_board_masked,15,17,0.0
ppo_full_board_masked,16,18,36.0
ppo_full_board_masked,17,19,45.0
ppo_full_board_masked,18,20,39.0
ppo_full_board_masked,19,21,31.0
ppo_full_board_masked,20,22,27.0
ppo_full_board_masked,21,23,36.0
ppo_full_board_masked,22,24,27.0
ppo_full_board_masked,23,25,27.0
ppo_full_board_masked,24,26,47.0
ppo_full_board_masked,25,27,48.0
ppo_full_board_masked,26,28,36.0
ppo_full_board_masked,27,29,54.0
ppo_full_board_masked,28,30,27.0
ppo_full_board_masked,29,31,36.0
ppo_full_board_masked,30,32,57.0
ppo_full_board_masked,31,33,47.0
ppo_full_board_masked,32,34,48.0
ppo_full_board_masked,33,35,0.0
ppo_full_board_masked,34,36,27.0
ppo_full_board_masked,35,37,52.0
ppo_full_board_masked,36,38,27.0
ppo_full_board_masked,37,39,74.0
ppo_full_board_masked,38,40,31.0
ppo_full_board_masked,39,41,54.0
ppo_full_board_masked,40,42,42.0
ppo_full_board_masked,41,43,35.0
ppo_full_board_masked,42,44,27.0
ppo_full_board_masked,43,45,33.0
ppo_full_board_masked,44,46,54.0
ppo_full_board_masked,45,47,55.0
ppo_full_board_masked,46,48,27.0
ppo_full_board_masked,47,49,39.0
ppo_full_board_masked,48,50,31.0
ppo_full_board_masked,49,51,31.0
ppo_full_board_masked,50,52,30.0
ppo_full_board_masked,51,53,27.0
ppo_full_board_masked,52,54,51.0
ppo_full_board_masked,53,55,32.0
ppo_full_board_masked,54,56,54.0
ppo_full_board_masked,55,57,48.0
ppo_full_board_masked,56,58,48.0
ppo_full_board_masked,57,59,72.0
ppo_full_board_masked,58,60,52.0
ppo_full_board_masked,59,61,27.0
ppo_full_board_masked,60,62,65.0
ppo_full_board_masked,61,63,51.0
ppo_full_board_masked,62,64,27.0
ppo_full_board_masked,63,65,27.0
ppo_full_board_masked,64,66,27.0
ppo_full_board_masked,65,67,45.0
ppo_full_board_masked,66,68,0.0
ppo_full_board_masked,67,69,27.0
ppo_full_board_masked,68,70,0.0
ppo_full_board_masked,69,71,27.0
ppo_full_board_masked,70,72,27.0
ppo_full_board_masked,71,73,27.0
ppo_full_board_masked,72,74,27.0
ppo_full_board_masked,73,75,27.0
ppo_full_board_masked,74,76,27.0
ppo_full_board_masked,75,77,27.0
ppo_full_board_masked,76,78,27.0
ppo_full_board_masked,77,79,27.0
ppo_full_board_masked,78,80,27.0
ppo_full_board_masked,79,81,27.0
ppo_full_board_masked,80,82,27.0
ppo_full_board_masked,81,83,27.0
ppo_full_board_masked,82,84,63.0
ppo_full_board_masked,83,85,36.0
ppo_full_board_masked,84,86,27.0
ppo_full_board_masked,85,87,39.0
ppo_full_board_masked,86,88,27.0
ppo_full_board_masked,87,89,27.0
ppo_full_board_masked,88,90,47.0
ppo_full_board_masked,89,91,24.0
ppo_full_board_masked,90,92,74.0
ppo_full_board_masked,91,93,33.0
ppo_full_board_masked,92,94,27.0
ppo_full_board_masked,93,95,54.0
ppo_full_board_masked,94,96,27.0
ppo_full_board_masked,95,97,48.0
ppo_full_board_masked,96,98,48.0
ppo_full_board_masked,97,99,27.0
ppo_full_board_masked,98,100,27.0
ppo_full_board_masked,99,101,51.0
ppo_full_board_masked,100,102,28.0
ppo_full_board_masked,101,103,27.0
ppo_full_board_masked,102,104,48.0
ppo_full_board_masked,103,105,39.0
ppo_full_board_masked,104,106,27.0
ppo_full_board_masked,105,107,59.0
ppo_full_board_masked,106,108,27.0
ppo_full_board_masked,107,109,27.0
ppo_full_board_masked,108,110,27.0
ppo_full_board_masked,109,111,55.0
ppo_full_board_masked,110,112,100.0
ppo_full_board_masked,111,113,43.0
ppo_full_board_masked,112,114,57.0
ppo_full_board_masked,113,115,27.0
ppo_full_board_masked,114,116,72.0
ppo_full_board_masked,115,117,27.0
ppo_full_board_masked,116,118,27.0
ppo_full_board_masked,117,119,33.0
ppo_full_board_masked,118,120,27.0
ppo_full_board_masked,119,121,45.0
ppo_full_board_masked,120,122,36.0
ppo_full_board_masked,121,123,70.0
ppo_full_board_masked,122,124,0.0
ppo_full_board_masked,123,125,27.0
ppo_full_board_masked,124,126,27.0
ppo_full_board_masked,125,127,0.0
ppo_full_board_masked,126,128,27.0
ppo_full_board_masked,127,129,47.0
ppo_full_board_masked,128,130,31.0
ppo_full_board_masked,129,131,48.0
ppo_full_board_masked,130,132,27.0
ppo_full_board_masked,131,133,27.0
ppo_full_board_masked,132,134,39.0
ppo_full_board_masked,133,135,51.0
ppo_full_board_masked,134,136,27.0
ppo_full_board_masked,135,137,48.0
ppo_full_board_masked,136,138,52.0
ppo_full_board_masked,137,139,27.0
ppo_full_board_masked,138,140,31.0
ppo_full_board_masked,139,141,45.0
ppo_full_board_masked,140,142,10.0
ppo_full_board_masked,141,143,80.0
ppo_full_board_masked,142,144,27.0
ppo_full_board_masked,143,145,27.0
ppo_full_board_masked,144,146,27.0
ppo_full_board_masked,145,147,27.0
ppo_full_board_masked,146,148,54.0
ppo_full_board_masked,147,149,27.0
ppo_full_board_masked,148,150,48.0
ppo_full_board_masked,149,151,8.0
ppo_full_board_masked,150,152,27.0
ppo_full_board_masked,151,153,27.0
ppo_full_board_masked,152,154,27.0
ppo_full_board_masked,153,155,27.0
ppo_full_board_masked,154,156,0.0
ppo_full_board_masked,155,157,31.0
ppo_full_board_masked,156,158,27.0
ppo_full_board_masked,157,159,36.0
ppo_full_board_masked,158,160,84.0
ppo_full_board_masked,159,161,59.0
ppo_full_board_masked,160,162,54.0
ppo_full_board_masked,161,163,48.0
ppo_full_board_masked,162,164,48.0
ppo_full_board_masked,163,165,56.0
ppo_full_board_masked,164,166,27.0
ppo_full_board_masked,165,167,27.0
ppo_full_board_masked,166,168,27.0
ppo_full_board_masked,167,169,59.0
ppo_full_board_masked,168,170,15.0
ppo_full_board_masked,169,171,59.0
ppo_full_board_masked,170,172,48.0
ppo_full_board_masked,171,173,27.0
ppo_full_board_masked,172,174,36.0
ppo_full_board_masked,173,175,27.0
