agent,episode_index,seed,score
ppo_full_board_masked,0,1,27.0
ppo_full_board_masked,1,2,36.0
ppo_full_board_masked,2,3,43.0
ppo_full_board_masked,3,4,27.0
ppo_full_board_masked,4,5,78.0
ppo_full_board_masked,5,6,0.0
ppo_full_board_masked,6,7,27.0
ppo_full_board_masked,7,8,45.0
ppo_full_board_masked,8,9,51.0
ppo_full_board_masked,9,10,47.0
ppo_full_board_masked,10,11,51.0
ppo_full_board_masked,11,12,54.0
ppo_full_board_masked,12,13,27.0
ppo_full_board_masked,13,14,27.0
ppo_full_board_masked,14,15,100.0
ppo_full_board_masked,15,16,27.0
ppo_full_board_masked,16,17,27.0
ppo_full_board_masked,17,18,27.0
ppo_full_board_masked,18,19,54.0
ppo_full_board_masked,19,20,54.0
ppo_full_board_masked,20,21,27.0
ppo_full_board_masked,21,22,74.0
ppo_full_board_masked,22,23,0.0
ppo_full_board_masked,23,24,27.0
ppo_full_board_masked,24,25,75.0
ppo_full_board_masked,25,26,78.0
ppo_full_board_masked,26,27,27.0
ppo_full_board_masked,27,28,54.0
ppo_full_board_masked,28,29,54.0
ppo_full_board_masked,29,30,54.0
ppo_full_board_masked,30,31,27.0
ppo_full_board_masked,31,32,51.0
ppo_full_board_masked,32,33,54.0
ppo_full_board_masked,33,34,60.0
ppo_full_board_masked,34,35,27.0
ppo_full_board_masked,35,36,27.0
ppo_full_board_masked,36,37,0.0
ppo_full_board_masked,37,38,54.0
ppo_full_board_masked,38,39,27.0
ppo_full_board_masked,39,40,63.0
ppo_full_board_masked,40,41,51.0
ppo_full_board_masked,41,42,31.0
ppo_full_board_masked,42,43,78.0
ppo_full_board_masked,43,44,54.0
ppo_full_board_masked,44,45,78.0
ppo_full_board_masked,45,46,43.0
ppo_full_board_masked,46,47,27.0
ppo_full_board_masked,47,48,54.0
ppo_full_board_masked,48,49,27.0
ppo_full_board_masked,49,50,45.0
ppo_full_board_masked,50,51,12.0
ppo_full_board_masked,51,52,54.0
ppo_full_board_masked,52,53,59.0
ppo_full_board_masked,53,54,54.0
ppo_full_board_masked,54,55,99.0
ppo_full_board_masked,55,56,54.0
ppo_full_board_masked,56,57,72.0
ppo_full_board_masked,57,58,54.0
ppo_full_board_masked,58,59,27.0
ppo_full_board_masked,59,60,45.0
ppo_full_board_masked,60,61,51.0
ppo_full_board_masked,61,62,0.0
ppo_full_board_masked,62,63,27.0
ppo_full_board_masked,63,64,60.0
ppo_full_board_masked,64,65,45.0
ppo_full_board_masked,65,66,84.0
ppo_full_board_masked,66,67,54.0
ppo_full_board_masked,67,68,48.0
ppo_full_board_masked,68,69,54.0
ppo_full_board_masked,69,70,51.0
ppo_full_board_masked,70,71,54.0
ppo_full_board_masked,71,72,51.0
ppo_full_board_masked,72,73,0.0
ppo_full_board_masked,73,74,27.0
ppo_full_board_masked,74,75,59.0
ppo_full_board_masked,75,76,51.0
ppo_full_board_masked,76,77,54.0
ppo_full_board_masked,77,78,27.0
ppo_full_board_masked,78,79,0.0
ppo_full_board_masked,79,80,27.0
ppo_full_board_masked,80,81,70.0
ppo_full_board_masked,81,82,54.0
ppo_full_board_masked,82,83,4.0
ppo_full_board_masked,83,84,27.0
ppo_full_board_masked,84,85,27.0
ppo_full_board_masked,85,86,78.0
ppo_full_board_masked,86,87,84.0
ppo_full_board_masked,87,88,54.0
ppo_full_board_masked,88,89,86.0
ppo_full_board_masked,89,90,45.0
ppo_full_board_masked,90,91,0.0
ppo_full_board_masked,91,92,54.0
ppo_full_board_masked,92,93,31.0
ppo_full_board_masked,93,94,54.0
ppo_full_board_masked,94,95,51.0
ppo_full_board_masked,95,96,27.0
ppo_full_board_masked,96,97,74.0
ppo_full_board_masked,97,98,21.0
ppo_full_board_masked,98,99,68.0
ppo_full_board_masked,99,100,63.0
ppo_full_board_masked,100,101,48.0
ppo_full_board_masked,101,102,27.0
ppo_full_board_masked,102,103,0.0
ppo_full_board_masked,103,104,27.0
ppo_full_board_masked,104,105,54.0
ppo_full_board_masked,105,106,82.0
ppo_full_board_masked,106,107,54.0
ppo_full_board_masked,107,108,54.0
ppo_full_board_masked,108,109,119.0
ppo_full_board_masked,109,110,27.0
ppo_full_board_masked,110,111,12.0
ppo_full_board_masked,111,112,54.0
ppo_full_board_masked,112,113,27.0
ppo_full_board_masked,113,114,69.0
ppo_full_board_masked,114,115,48.0
ppo_full_board_masked,115,116,54.0
ppo_full_board_masked,116,117,63.0
ppo_full_board_masked,117,118,27.0
ppo_full_board_masked,118,119,54.0
ppo_full_board_masked,119,120,27.0
ppo_full_board_masked,120,121,85.0
ppo_full_board_masked,121,122,48.0
ppo_full_board_masked,122,123,27.0
ppo_full_board_masked,123,124,57.0
ppo_full_board_masked,124,125,27.0
ppo_full_board_masked,125,126,27.0
ppo_full_board_masked,126,127,72.0
ppo_full_board_masked,127,128,54.0
ppo_full_board_masked,128,129,54.0
ppo_full_board_masked,129,130,0.0
ppo_full_board_masked,130,131,75.0
ppo_full_board_masked,131,132,51.0
ppo_full_board_masked,132,133,31.0
ppo_full_board_masked,133,134,96.0
ppo_full_board_masked,134,135,54.0
ppo_full_board_masked,135,136,33.0
ppo_full_board_masked,136,137,27.0
ppo_full_board_masked,137,138,43.0
ppo_full_board_masked,138,139,67.0
ppo_full_board_masked,139,140,51.0
ppo_full_board_masked,140,141,0.0
ppo_full_board_masked,141,142,49.0
ppo_full_board_masked,142,143,75.0
ppo_full_board_masked,143,144,61.0
ppo_full_board_masked,144,145,74.0
ppo_full_board_masked,145,146,27.0
ppo_full_board_masked,146,147,27.0
ppo_full_board_masked,147,148,93.0
ppo_full_board_masked,148,149,36.0
ppo_full_board_masked,149,150,66.0
ppo_full_board_masked,150,151,27.0
ppo_full_board_masked,151,152,51.0
ppo_full_board_masked,152,153,27.0
ppo_full_board_masked,153,154,33.0
ppo_full_board_masked,154,155,45.0
ppo_full_board_masked,155,156,63.0
ppo_full_board_masked,156,157,42.0
ppo_full_board_masked,157,158,78.0
ppo_full_board_masked,158,159,54.0
ppo_full_board_masked,159,160,27.0
ppo_full_board_masked,160,161,54.0
ppo_full_board_masked,161,162,55.0
ppo_full_board_masked,162,163,102.0
ppo_full_board_masked,163,164,47.0
ppo_full_board_masked,164,165,27.0
ppo_full_board_masked,165,166,77.0
ppo_full_board_masked,166,167,78.0
ppo_full_board_masked,167,168,0.0
ppo_full_board_masked,168,169,54.0
ppo_full_board_masked,169,170,42.0
ppo_full_board_masked,170,171,54.0
ppo_full_board_masked,171,172,107.0
ppo_full_board_masked,172,173,78.0
ppo_full_board_masked,173,174,75.0
ppo_full_board_masked,174,175,27.0
ppo_full_board_masked,175,176,27.0
ppo_full_board_masked,176,177,24.0
ppo_full_board_masked,177,178,78.0
ppo_full_board_masked,178,179,0.0
ppo_full_board_masked,179,180,78.0
ppo_full_board_masked,180,181,51.0
ppo_full_board_masked,181,182,0.0
ppo_full_board_masked,182,183,27.0
ppo_full_board_masked,183,184,0.0
ppo_full_board_masked,184,185,78.0
ppo_full_board_masked,185,186,48.0
ppo_full_board_masked,186,187,81.0
ppo_full_board_masked,187,188,27.0
ppo_full_board_masked,188,189,27.0
ppo_full_board_masked,189,190,27.0
ppo_full_board_masked,190,191,72.0
ppo_full_board_masked,191,192,98.0
ppo_full_board_masked,192,193,27.0
ppo_full_board_masked,193,194,27.0
ppo_full_board_masked,194,195,54.0
ppo_full_board_masked,195,196,39.0
ppo_full_board_masked,196,197,54.0
ppo_full_board_masked,197,198,54.0
ppo_full_board_masked,198,199,69.0
ppo_full_board_masked,199,200,27.0
ppo_full_board_masked,200,201,42.0
ppo_full_board_masked,201,202,57.0
ppo_full_board_masked,202,203,51.0
ppo_full_board_masked,203,204,75.0
ppo_full_board_masked,204,205,54.0
ppo_full_board_masked,205,206,19.0
ppo_full_board_masked,206,207,27.0
ppo_full_board_masked,207,208,27.0
ppo_full_board_masked,208,209,54.0
ppo_full_board_masked,209,210,48.0
ppo_full_board_masked,210,211,27.0
ppo_full_board_masked,211,212,27.0
ppo_full_board_masked,212,213,27.0
ppo_full_board_masked,213,214,87.0
ppo_full_board_masked,214,215,0.0
ppo_full_board_masked,215,216,54.0
ppo_full_board_masked,216,217,27.0
ppo_full_board_masked,217,218,54.0
ppo_full_board_masked,218,219,45.0
ppo_full_board_masked,219,220,27.0
ppo_full_board_masked,220,221,18.0
ppo_full_board_masked,221,222,27.0
ppo_full_board_masked,222,223,54.0
ppo_full_board_masked,223,224,33.0
ppo_full_board_masked,224,225,54.0
ppo_full_board_masked,225,226,27.0
ppo_full_board_masked,226,227,27.0
ppo_full_board_masked,227,228,74.0
ppo_full_board_masked,228,229,51.0
ppo_full_board_masked,229,230,27.0
ppo_full_board_masked,230,231,39.0
ppo_full_board_masked,231,232,21.0
ppo_full_board_masked,232,233,54.0
ppo_full_board_masked,233,234,72.0
ppo_full_board_masked,234,235,45.0
ppo_full_board_masked,235,236,64.0
ppo_full_board_masked,236,237,99.0
ppo_full_board_masked,237,238,54.0
ppo_full_board_masked,238,239,51.0
ppo_full_board_masked,239,240,82.0
ppo_full_board_masked,240,241,54.0
ppo_full_board_masked,241,242,45.0
ppo_full_board_masked,242,243,20.0
ppo_full_board_masked,243,244,78.0
ppo_full_board_masked,244,245,54.0
ppo_full_board_masked,245,246,54.0
ppo_full_board_masked,246,247,27.0
ppo_full_board_masked,247,248,27.0
ppo_full_board_masked,248,249,54.0
ppo_full_board_masked,249,250,27.0
ppo_full_board_masked,250,251,47.0
ppo_full_board_masked,251,252,51.0
ppo_full_board_masked,252,253,27.0
ppo_full_board_masked,253,254,27.0
ppo_full_board_masked,254,255,41.0
ppo_full_board_masked,255,256,51.0
ppo_full_board_masked,256,257,39.0
ppo_full_board_masked,257,258,72.0
ppo_full_board_masked,258,259,100.0
ppo_full_board_masked,259,260,94.0
ppo_full_board_masked,260,261,27.0
ppo_full_board_masked,261,262,27.0
ppo_full_board_masked,262,263,74.0
ppo_full_board_masked,263,264,27.0
ppo_full_board_masked,264,265,48.0
ppo_full_board_masked,265,266,54.0
ppo_full_board_masked,266,267,27.0
ppo_full_board_masked,267,268,56.0
ppo_full_board_masked,268,269,54.0
ppo_full_board_masked,269,270,51.0
ppo_full_board_masked,270,271,47.0
ppo_full_board_masked,271,272,51.0
ppo_full_board_masked,272,273,48.0
ppo_full_board_masked,273,274,59.0
ppo_full_board_masked,274,275,54.0
ppo_full_board_masked,275,276,54.0
ppo_full_board_masked,276,277,45.0
ppo_full_board_masked,277,278,33.0
ppo_full_board_masked,278,279,27.0
ppo_full_board_masked,279,280,27.0
ppo_full_board_masked,280,281,29.0
ppo_full_board_masked,281,282,27.0
ppo_full_board_masked,282,283,0.0
ppo_full_board_masked,283,284,27.0
ppo_full_board_masked,284,285,60.0
