agent,episode_index,seed,score
ppo_full_board_masked,0,1,59.0
ppo_full_board_masked,1,2,125.0
ppo_full_board_masked,2,3,101.0
ppo_full_board_masked,3,4,115.0
ppo_full_board_masked,4,5,119.0
ppo_full_board_masked,5,6,77.0
ppo_full_board_masked,6,7,107.0
ppo_full_board_masked,7,8,80.0
ppo_full_board_masked,8,9,124.0
ppo_full_board_masked,9,10,59.0
ppo_full_board_masked,10,11,98.0
ppo_full_board_masked,11,12,90.0
ppo_full_board_masked,12,13,59.0
ppo_full_board_masked,13,14,86.0
ppo_full_board_masked,14,15,86.0
ppo_full_board_masked,15,16,12.0
ppo_full_board_masked,16,17,86.0
ppo_full_board_masked,17,18,59.0
ppo_full_board_masked,18,19,86.0
ppo_full_board_masked,19,20,111.0
ppo_full_board_masked,20,21,111.0
ppo_full_board_masked,21,22,106.0
ppo_full_board_masked,22,23,104.0
ppo_full_board_masked,23,24,80.0
ppo_full_board_masked,24,25,86.0
ppo_full_board_masked,25,26,106.0
ppo_full_board_masked,26,27,106.0
ppo_full_board_masked,27,28,86.0
ppo_full_board_masked,28,29,95.0
ppo_full_board_masked,29,30,86.0
ppo_full_board_masked,30,31,59.0
ppo_full_board_masked,31,32,90.0
ppo_full_board_masked,32,33,132.0
ppo_full_board_masked,33,34,98.0
ppo_full_board_masked,34,35,59.0
ppo_full_board_masked,35,36,54.0
ppo_full_board_masked,36,37,79.0
ppo_full_board_masked,37,38,92.0
ppo_full_board_masked,38,39,86.0
ppo_full_board_masked,39,40,86.0
ppo_full_board_masked,40,41,54.0
ppo_full_board_masked,41,42,75.0
ppo_full_board_masked,42,43,54.0
ppo_full_board_masked,43,44,86.0
ppo_full_board_masked,44,45,86.0
ppo_full_board_masked,45,46,64.0
ppo_full_board_masked,46,47,86.0
ppo_full_board_masked,47,48,107.0
ppo_full_board_masked,48,49,71.0
ppo_full_board_masked,49,50,86.0
ppo_full_board_masked,50,51,86.0
ppo_full_board_masked,51,52,118.0
ppo_full_board_masked,52,53,116.0
ppo_full_board_masked,53,54,86.0
