agent,episode_index,seed,score
ppo_full_board_masked,0,6,69.0
ppo_full_board_masked,1,7,103.0
ppo_full_board_masked,2,8,112.0
ppo_full_board_masked,3,9,119.0
ppo_full_board_masked,4,10,71.0
ppo_full_board_masked,5,11,98.0
ppo_full_board_masked,6,12,78.0
ppo_full_board_masked,7,13,51.0
ppo_full_board_masked,8,14,102.0
ppo_full_board_masked,9,15,120.0
ppo_full_board_masked,10,16,75.0
ppo_full_board_masked,11,17,151.0
ppo_full_board_masked,12,18,63.0
ppo_full_board_masked,13,19,116.0
ppo_full_board_masked,14,20,99.0
ppo_full_board_masked,15,21,119.0
ppo_full_board_masked,16,22,92.0
ppo_full_board_masked,17,23,98.0
ppo_full_board_masked,18,24,71.0
ppo_full_board_masked,19,25,116.0
ppo_full_board_masked,20,26,116.0
ppo_full_board_masked,21,27,119.0
ppo_full_board_masked,22,28,74.0
ppo_full_board_masked,23,29,98.0
ppo_full_board_masked,24,30,98.0
ppo_full_board_masked,25,31,100.0
ppo_full_board_masked,26,32,55.0
ppo_full_board_masked,27,33,114.0
ppo_full_board_masked,28,34,55.0
ppo_full_board_masked,29,35,51.0
ppo_full_board_masked,30,36,144.0
ppo_full_board_masked,31,37,71.0
ppo_full_board_masked,32,38,58.0
ppo_full_board_masked,33,39,98.0
ppo_full_board_masked,34,40,120.0
ppo_full_board_masked,35,41,102.0
ppo_full_board_masked,36,42,75.0
ppo_full_board_masked,37,43,74.0
ppo_full_board_masked,38,44,98.0
ppo_full_board_masked,39,45,99.0
ppo_full_board_masked,40,46,71.0
ppo_full_board_masked,41,47,74.0
ppo_full_board_masked,42,48,78.0
ppo_full_board_masked,43,49,92.0
ppo_full_board_masked,44,50,98.0
ppo_full_board_masked,45,51,103.0
ppo_full_board_masked,46,52,78.0
ppo_full_board_masked,47,53,98.0
ppo_full_board_masked,48,54,107.0
ppo_full_board_masked,49,55,139.0
ppo_full_board_masked,50,56,113.0
ppo_full_board_masked,51,57,78.0
ppo_full_board_masked,52,58,131.0
ppo_full_board_masked,53,59,24.0
ppo_full_board_masked,54,60,102.0
ppo_full_board_masked,55,61,71.0
ppo_full_board_masked,56,62,93.0
ppo_full_board_masked,57,63,115.0
ppo_full_board_masked,58,64,98.0
ppo_full_board_masked,59,65,118.0
ppo_full_board_masked,60,66,75.0
ppo_full_board_masked,61,67,119.0
ppo_full_board_masked,62,68,72.0
ppo_full_board_masked,63,69,122.0
ppo_full_board_masked,64,70,71.0
ppo_full_board_masked,65,71,74.0
ppo_full_board_masked,66,72,98.0
ppo_full_board_masked,67,73,51.0
ppo_full_board_masked,68,74,92.0
ppo_full_board_masked,69,75,92.0
ppo_full_board_masked,70,76,114.0
ppo_full_board_masked,71,77,100.0
ppo_full_board_masked,72,78,75.0
ppo_full_board_masked,73,79,32.0
ppo_full_board_masked,74,80,119.0
ppo_full_board_masked,75,81,110.0
ppo_full_board_masked,76,82,78.0
ppo_full_board_masked,77,83,107.0
ppo_full_board_masked,78,84,92.0
ppo_full_board_masked,79,85,92.0
ppo_full_board_masked,80,86,66.0
ppo_full_board_masked,81,87,98.0
ppo_full_board_masked,82,88,126.0
ppo_full_board_masked,83,89,119.0
ppo_full_board_masked,84,90,47.0
ppo_full_board_masked,85,91,75.0
ppo_full_board_masked,86,92,93.0
